gene_id	symbol	gene_type	ncbi_ortholog_count	has_ncbi_ortholog
1	A1BG	protein-coding	229	true
2	A2M	protein-coding	243	true
9	NAT1	protein-coding	50	true
10	NAT2	protein-coding	14	true
11	NATP	pseudo	0	false
12	SERPINA3	protein-coding	123	true
13	AADAC	protein-coding	343	true
14	AAMP	protein-coding	866	true
15	AANAT	protein-coding	823	true
16	AARS1	protein-coding	801	true
18	ABAT	protein-coding	852	true
19	ABCA1	protein-coding	543	true
20	ABCA2	protein-coding	826	true
21	ABCA3	protein-coding	826	true
22	ABCB7	protein-coding	863	true
23	ABCF1	protein-coding	755	true
24	ABCA4	protein-coding	664	true
25	ABL1	protein-coding	858	true
26	AOC1	protein-coding	757	true
27	ABL2	protein-coding	856	true
28	ABO	protein-coding	135	true
29	ABR	protein-coding	827	true
30	ACAA1	protein-coding	799	true
31	ACACA	protein-coding	840	true
32	ACACB	protein-coding	853	true
33	ACADL	protein-coding	823	true
34	ACADM	protein-coding	841	true
35	ACADS	protein-coding	863	true
36	ACADSB	protein-coding	865	true
37	ACADVL	protein-coding	720	true
38	ACAT1	protein-coding	870	true
39	ACAT2	protein-coding	847	true
40	ASIC2	protein-coding	621	true
41	ASIC1	protein-coding	542	true
43	ACHE	protein-coding	415	true
47	ACLY	protein-coding	815	true
48	ACO1	protein-coding	871	true
49	ACR	protein-coding	299	true
50	ACO2	protein-coding	861	true
51	ACOX1	protein-coding	863	true
52	ACP1	protein-coding	876	true
53	ACP2	protein-coding	822	true
54	ACP5	protein-coding	780	true
55	ACP3	protein-coding	353	true
56	ACRV1	protein-coding	226	true
58	ACTA1	protein-coding	520	true
59	ACTA2	protein-coding	544	true
60	ACTB	protein-coding	785	true
62	ACTBP2	pseudo	0	false
63	ACTBP3	pseudo	0	false
64	ACTBP4	pseudo	0	false
66	ACTBP6	pseudo	0	false
67	ACTBP7	pseudo	0	false
68	ACTBP8	pseudo	0	false
69	ACTBP9	pseudo	0	false
70	ACTC1	protein-coding	794	true
71	ACTG1	protein-coding	526	true
